Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
15,147,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
47,176,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
54,231,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
70,172,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
66,134,4,16,5,8,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
52,254,4,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_89
27,136,3,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
32,219,4,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
38,236,3,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
36,158,3,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
31,140,4,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
32,200,3,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
28,183,4,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
20,356,3,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
27,90,5,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
29,175,5,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
34,351,7,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
20,218,5,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
35,212,3,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
34,181,3,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
30,179,5,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
32,383,11,62,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
24,297,12,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
30,219,11,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
